,workerid,item,slide_number,condition,language,pref1,response1,pref2,response2,pref3,response3,pref4,response4,pref5,response5,pref6,response6,pref7,response7,pref8,response8,pref9,response9,obj1,obj2,obj3,ambiguous,numFeatures,utterancecode
227,15,1965,4,323232,english,cloud,0.7,solid,0.9,blue,0.75,,,,,,,,,,,,,111,111,111,False,3,333
228,15,2036,5,322122,english,red,0.8,cloud,0.95,solid,0.75,green,0.85,circle,0.75,,,,,,,,,212,213,112,True,5,322b
229,15,690,6,212211,english,circle,0.85,square,1.0,red,0.8,striped,0.9,blue,0.75,cloud,0.85,polka-dotted,0.7,,,,,231,132,321,True,7,22b1
230,15,520,7,112132,english,polka-dotted,0.8,striped,0.9,green,0.75,red,0.85,circle,0.65,blue,1.0,,,,,,,231,232,223,True,6,321
231,15,1191,8,212232,english,circle,0.8,polka-dotted,0.85,green,0.65,solid,0.85,cloud,0.75,,,,,,,,,133,233,113,True,5,322b
232,15,600,9,213212,english,striped,0.75,cloud,0.9,green,0.7,solid,0.9,red,0.75,,,,,,,,,112,122,123,True,5,322b
233,15,921,10,212121,english,striped,0.75,square,0.95,blue,0.7,polka-dotted,0.9,red,0.7,cloud,0.95,,,,,,,332,332,121,False,6,22a2a
234,15,1692,11,121212,english,square,0.7,blue,0.95,green,0.8,striped,0.9,polka-dotted,0.7,circle,0.85,,,,,,,221,333,333,False,6,22a2a
235,15,922,12,212121,english,circle,0.7,red,0.85,polka-dotted,0.7,striped,0.9,blue,0.7,square,0.95,,,,,,,222,222,331,False,6,22a2a
236,15,40,13,122112,english,cloud,0.8,solid,0.95,red,0.7,square,0.9,blue,0.75,polka-dotted,0.85,,,,,,,332,131,111,True,6,22a2b
237,15,28,14,122112,english,polka-dotted,0.75,solid,0.9,red,0.75,green,0.95,circle,0.8,cloud,0.95,,,,,,,113,233,232,True,6,22a2b
238,15,1666,15,121212,english,red,0.8,circle,0.9,square,0.7,polka-dotted,0.9,solid,0.8,green,0.7,,,,,,,312,233,233,False,6,22a2a
239,15,1061,16,113212,english,square,0.75,red,0.9,solid,0.8,striped,0.95,green,0.85,blue,0.8,,,,,,,312,321,323,True,6,321
240,15,1175,17,212232,english,polka-dotted,0.85,square,0.95,circle,0.7,blue,0.85,striped,0.75,,,,,,,,,221,231,321,True,5,322b
241,16,1296,3,111111,English,red,0.65,cloud,0.65,solid,0.35,green,0.35,blue,0.6,circle,0.65,striped,0.7,square,0.35,polka-dotted,0.85,231,313,122,False,9,111
242,16,1678,4,121212,English,cloud,0.75,green,0.65,circle,0.7,red,0.75,polka-dotted,0.6,solid,0.3,,,,,,,113,232,232,False,6,22a2a
243,16,1477,5,123211,English,green,0.75,striped,0.45,solid,0.7,cloud,0.75,square,0.4,polka-dotted,0.75,,,,,,,313,123,133,True,6,321
244,16,2196,6,121111,English,green,0.65,solid,0.7,cloud,0.75,red,0.3,blue,0.75,polka-dotted,0.7,striped,0.35,circle,0.85,,,131,223,212,True,8,211
245,16,1680,7,121212,English,striped,0.3,polka-dotted,0.6,square,0.7,cloud,0.7,green,0.7,red,0.65,,,,,,,332,123,123,False,6,22a2a
246,16,503,8,112132,English,circle,0.65,green,0.65,cloud,0.65,blue,0.65,square,0.55,solid,0.35,,,,,,,213,313,111,True,6,321
247,16,407,9,321112,English,circle,0.8,striped,0.35,blue,0.4,solid,0.65,polka-dotted,0.65,green,0.35,,,,,,,211,233,223,True,6,321
248,16,1565,10,322121,English,striped,0.65,red,0.7,blue,0.7,square,0.65,cloud,0.7,,,,,,,,,322,322,121,True,5,322a
249,16,1956,11,323232,English,solid,0.7,square,0.65,blue,0.6,,,,,,,,,,,,,311,311,311,False,3,333
250,16,24,12,122112,English,square,0.65,red,0.65,circle,0.6,polka-dotted,0.35,solid,0.3,green,0.65,,,,,,,232,312,313,True,6,22a2b
251,16,1701,13,212112,English,striped,0.6,cloud,0.7,solid,0.7,green,0.65,blue,0.6,circle,0.3,,,,,,,213,211,121,True,6,22a2b
252,16,1960,14,323232,English,green,0.7,striped,0.7,circle,0.65,,,,,,,,,,,,,223,223,223,False,3,333
253,16,2243,15,323211,English,solid,0.35,striped,0.35,blue,0.75,polka-dotted,0.7,cloud,0.65,,,,,,,,,111,121,131,True,5,331
254,16,1006,16,212212,English,blue,0.7,striped,0.7,solid,0.35,cloud,0.4,red,0.65,circle,0.65,,,,,,,121,112,222,True,6,22b2b
255,16,2015,17,322122,English,green,0.35,solid,0.25,square,0.75,blue,0.65,striped,0.65,,,,,,,,,323,321,313,True,5,322b
256,17,1309,3,122122,English,red,0.75,striped,0.25,circle,0.25,green,0.75,solid,0.75,square,0.75,,,,,,,212,223,322,True,6,22b2b
257,17,936,4,212121,English,red,0.1,striped,0.85,blue,0.85,square,0.1,circle,0.85,polka-dotted,0.1,,,,,,,332,332,221,False,6,22a2a
258,17,1279,5,111111,English,striped,0.9,polka-dotted,0.9,blue,0.9,square,0.9,cloud,0.9,solid,0.9,green,0.9,red,0.9,circle,0.6,213,132,321,False,9,111
259,17,1952,6,323232,English,blue,0.0,polka-dotted,0.0,cloud,0.0,,,,,,,,,,,,,131,131,131,False,3,333
260,17,1257,7,111111,English,striped,0.95,blue,0.95,green,0.65,square,0.95,cloud,1.0,red,0.65,solid,1.0,circle,1.0,polka-dotted,0.9,211,332,123,False,9,111
261,17,2382,8,113232,English,square,1.0,red,0.0,cloud,0.75,circle,1.0,solid,0.0,,,,,,,,,312,212,112,True,5,331
262,17,735,9,212122,English,red,0.1,polka-dotted,0.0,blue,0.8,cloud,0.0,solid,1.0,square,1.0,,,,,,,132,112,331,True,6,22a2b
263,17,1420,10,322111,English,square,0.9,cloud,0.7,polka-dotted,0.0,circle,0.65,striped,1.0,red,0.0,,,,,,,232,332,122,True,6,321
264,17,1824,11,122121,English,cloud,0.7,blue,1.0,red,0.0,circle,0.0,solid,1.0,polka-dotted,0.0,,,,,,,212,232,131,True,6,22a2b
265,17,2383,12,113232,English,striped,0.0,cloud,0.85,square,0.95,green,0.0,circle,1.0,,,,,,,,,323,223,123,True,5,331
266,17,1659,13,121212,English,green,0.85,polka-dotted,0.95,solid,0.0,square,1.0,cloud,0.0,blue,0.0,,,,,,,333,111,111,False,6,22a2a
267,17,896,14,112122,English,polka-dotted,0.85,square,0.0,red,0.8,striped,1.0,solid,1.0,cloud,0.85,blue,0.0,,,,,331,322,111,True,7,22b1
268,17,1871,15,123212,English,square,0.0,solid,1.0,red,1.0,striped,0.0,green,0.0,,,,,,,,,312,323,323,True,5,322a
269,17,2063,16,321111,English,green,1.0,polka-dotted,1.0,red,0.75,solid,1.0,circle,0.0,blue,0.65,striped,1.0,,,,,213,221,232,True,7,311
270,17,1144,17,321212,English,solid,0.0,polka-dotted,1.0,cloud,0.0,circle,1.0,red,0.0,,,,,,,,,232,112,112,True,5,322a
271,18,2273,3,213232,English,striped,0.7,solid,0.4,blue,0.8,circle,0.8,,,,,,,,,,,211,211,221,True,4,332
272,18,1990,4,323232,English,striped,0.8,circle,0.8,green,0.8,,,,,,,,,,,,,223,223,223,False,3,333
273,18,454,5,211111,English,solid,0.65,red,0.45,green,0.7,blue,0.7,circle,0.4,polka-dotted,0.3,striped,0.7,square,0.65,,,331,313,222,True,8,211
274,18,1822,6,122121,English,red,0.35,striped,0.75,solid,0.65,cloud,0.75,blue,0.6,square,0.7,,,,,,,321,121,112,True,6,22a2b
275,18,254,7,212222,English,striped,0.75,red,0.35,square,0.75,polka-dotted,0.4,circle,0.7,blue,0.8,,,,,,,231,332,221,True,6,22a2b
276,18,1688,8,121212,English,blue,0.8,polka-dotted,0.2,striped,0.85,circle,0.2,cloud,0.85,red,0.25,,,,,,,232,121,121,False,6,22a2a
277,18,2199,9,121111,English,solid,0.3,green,0.8,striped,0.75,cloud,0.6,blue,0.25,red,0.8,square,0.8,circle,0.85,,,112,323,221,True,8,211
278,18,158,10,323212,English,green,0.7,solid,0.65,square,0.75,circle,0.8,,,,,,,,,,,213,313,313,True,4,332
279,18,2167,11,121111,English,striped,0.35,square,0.75,cloud,0.4,solid,0.8,circle,0.8,blue,0.65,red,0.25,polka-dotted,0.65,,,332,121,211,True,8,211
280,18,495,12,211111,English,striped,0.4,red,0.8,circle,0.65,blue,0.75,square,0.8,polka-dotted,0.35,cloud,0.65,green,0.65,,,221,122,333,True,8,211
281,18,1226,13,112112,English,solid,0.75,green,0.7,cloud,0.4,polka-dotted,0.7,blue,0.45,circle,0.5,red,0.75,,,,,211,232,133,True,7,22b1
282,18,932,14,212121,English,square,0.75,polka-dotted,0.35,solid,0.7,circle,0.35,blue,0.35,green,0.7,,,,,,,311,311,233,False,6,22a2a
283,18,939,15,212121,English,cloud,0.7,blue,0.7,striped,0.35,polka-dotted,0.3,red,0.6,square,0.4,,,,,,,331,331,122,False,6,22a2a
284,18,911,16,212121,English,blue,0.75,cloud,0.75,polka-dotted,0.4,solid,0.6,circle,0.3,green,0.3,,,,,,,213,213,131,False,6,22a2a
285,18,1623,17,211112,English,striped,0.75,square,0.35,red,0.7,solid,0.15,blue,0.8,green,0.65,circle,0.6,,,,,212,313,321,True,7,22b1
286,19,786,3,211212,English,green,0.65,circle,0.0,striped,0.85,cloud,0.3,solid,0.0,red,0.4,,,,,,,112,123,223,True,6,22a2b
287,19,1061,4,113212,English,green,0.5,blue,0.0,red,0.6,solid,0.3,striped,0.8,square,1.0,,,,,,,312,321,323,True,6,321
288,19,1964,5,323232,English,red,1.0,cloud,1.0,striped,1.0,,,,,,,,,,,,,122,122,122,False,3,333
289,19,1674,6,121212,English,striped,0.35,circle,0.5,red,0.1,solid,0.0,blue,0.75,cloud,0.15,,,,,,,122,211,211,False,6,22a2a
290,19,967,7,121112,English,circle,0.5,solid,0.0,green,0.6,polka-dotted,0.2,red,0.15,striped,0.2,square,0.05,,,,,322,233,213,True,7,22a1
291,19,1124,8,321212,English,green,0.2,square,0.1,blue,0.55,polka-dotted,1.0,circle,0.55,,,,,,,,,333,231,231,True,5,322a
292,19,981,9,121112,English,square,0.1,cloud,0.1,polka-dotted,0.35,blue,0.7,solid,0.45,green,0.05,circle,0.15,,,,,333,111,211,True,7,22a1
293,19,1976,10,323232,English,blue,1.0,square,1.0,polka-dotted,1.0,,,,,,,,,,,,,331,331,331,False,3,333
294,19,985,11,121112,English,polka-dotted,0.15,circle,0.0,red,0.55,striped,0.8,cloud,0.05,green,0.05,square,0.0,,,,,333,222,122,True,7,22a1
295,19,2381,12,113232,English,cloud,0.1,square,0.1,polka-dotted,1.0,green,1.0,circle,0.1,,,,,,,,,333,233,133,True,5,331
296,19,930,13,212121,English,blue,0.85,cloud,0.15,solid,0.0,square,0.75,polka-dotted,0.8,red,0.15,,,,,,,331,331,112,False,6,22a2a
297,19,485,14,211111,English,cloud,0.1,green,0.1,polka-dotted,0.5,square,0.1,circle,0.05,red,0.1,blue,0.1,solid,0.0,,,233,332,111,True,8,211
298,19,1298,15,111111,English,polka-dotted,0.15,red,0.15,striped,0.15,solid,0.15,cloud,0.15,green,0.15,blue,0.15,square,0.15,circle,0.15,133,311,222,False,9,111
299,19,372,16,122132,English,circle,0.5,solid,0.45,striped,0.2,cloud,0.2,red,1.0,,,,,,,,,112,212,222,True,5,322b
300,19,2322,17,123232,English,polka-dotted,0.15,green,1.0,circle,0.65,striped,0.75,,,,,,,,,,,233,223,223,True,4,332
301,20,1392,3,113211,English,solid,0.7,red,0.9,cloud,0.2,circle,0.2,polka-dotted,0.65,striped,0.15,square,0.75,,,,,132,222,312,True,7,311
302,20,837,4,112111,English,circle,0.75,blue,0.15,solid,0.15,green,0.3,red,0.75,cloud,0.7,striped,0.9,square,0.6,,,223,322,111,True,8,211
303,20,1513,5,322112,English,cloud,0.2,circle,0.6,green,0.8,polka-dotted,0.6,solid,0.3,,,,,,,,,133,233,213,True,5,322b
304,20,858,6,112122,English,green,0.6,red,0.8,solid,0.55,polka-dotted,0.65,cloud,0.3,circle,0.7,striped,1.0,,,,,112,123,232,True,7,22b1
305,20,1370,7,113211,English,circle,0.6,cloud,0.65,red,0.75,polka-dotted,0.3,solid,0.7,striped,0.3,square,0.45,,,,,312,132,222,True,7,311
306,20,233,8,212132,English,cloud,0.75,solid,0.3,striped,0.7,blue,1.0,circle,0.6,,,,,,,,,221,221,111,True,5,322a
307,20,2000,9,323232,English,circle,0.8,striped,0.6,blue,0.95,,,,,,,,,,,,,221,221,221,False,3,333
308,20,928,10,212121,English,blue,0.3,green,0.55,striped,0.65,solid,0.6,circle,0.35,square,0.8,,,,,,,323,323,211,False,6,22a2a
309,20,2248,11,323211,English,solid,0.75,striped,0.55,red,0.8,cloud,0.4,polka-dotted,0.7,,,,,,,,,132,122,112,True,5,331
310,20,1802,12,122121,English,cloud,0.3,solid,0.45,red,0.3,circle,0.75,green,0.6,striped,0.75,,,,,,,123,223,212,True,6,22a2b
311,20,1301,13,122122,English,blue,0.05,circle,0.35,cloud,0.6,striped,0.7,green,0.25,solid,0.7,,,,,,,221,213,123,True,6,22b2b
312,20,2230,14,323211,English,red,0.6,green,0.6,square,0.8,striped,0.8,blue,0.3,,,,,,,,,322,323,321,True,5,331
313,20,950,15,212121,English,red,0.6,striped,0.6,cloud,0.3,square,0.2,green,0.75,solid,0.7,,,,,,,123,123,312,False,6,22a2a
314,20,1283,16,111111,English,red,0.45,blue,0.55,solid,0.65,striped,0.65,polka-dotted,0.8,circle,0.65,cloud,0.1,square,0.65,green,1.0,131,322,213,False,9,111
315,20,1992,17,323232,English,polka-dotted,0.6,circle,0.55,blue,0.9,,,,,,,,,,,,,231,231,231,False,3,333
316,21,1291,3,111111,English,polka-dotted,0.65,green,0.8,blue,0.75,red,0.8,circle,0.75,cloud,0.7,striped,0.75,square,0.85,solid,0.15,231,322,113,False,9,111
317,21,2235,4,323211,English,square,0.8,circle,0.85,green,0.0,cloud,1.0,polka-dotted,0.05,,,,,,,,,333,233,133,True,5,331
318,21,920,5,212121,English,blue,0.9,circle,0.1,green,0.0,solid,0.0,polka-dotted,0.95,cloud,1.0,,,,,,,213,213,131,False,6,22a2a
319,21,309,6,213211,English,polka-dotted,1.0,solid,0.0,red,0.0,cloud,0.0,striped,1.0,green,1.0,,,,,,,122,132,113,True,6,321
320,21,1056,7,113212,English,circle,1.0,cloud,1.0,solid,0.0,striped,0.0,square,1.0,green,0.0,,,,,,,113,223,323,True,6,321
321,21,1270,8,111111,English,cloud,1.0,green,1.0,red,1.0,blue,1.0,polka-dotted,0.9,solid,0.0,square,1.0,circle,1.0,striped,0.95,332,111,223,False,9,111
322,21,2063,9,321111,English,striped,1.0,green,1.0,circle,1.0,solid,0.0,red,1.0,blue,1.0,polka-dotted,1.0,,,,,213,221,232,True,7,311
323,21,1453,10,123211,English,square,1.0,solid,1.0,circle,0.0,blue,0.0,polka-dotted,1.0,striped,1.0,,,,,,,331,211,221,True,6,321
324,21,1002,11,212212,English,green,1.0,square,0.05,polka-dotted,0.0,cloud,0.95,striped,1.0,red,0.0,,,,,,,322,333,132,True,6,22b2b
325,21,2193,12,121111,English,square,1.0,polka-dotted,1.0,green,1.0,cloud,1.0,striped,1.0,solid,1.0,circle,1.0,red,0.0,,,223,312,132,True,8,211
326,21,1679,13,121212,English,solid,1.0,polka-dotted,0.0,red,1.0,square,1.0,green,0.0,circle,0.0,,,,,,,312,233,233,False,6,22a2a
327,21,1858,14,123212,English,green,1.0,square,1.0,striped,0.0,cloud,0.0,blue,0.0,,,,,,,,,323,121,121,True,5,322a
328,21,668,15,212211,English,striped,1.0,solid,1.0,polka-dotted,1.0,blue,0.0,square,0.0,cloud,1.0,green,0.95,,,,,311,131,323,True,7,22b1
329,21,404,16,321112,English,circle,1.0,red,1.0,square,0.9,striped,0.0,cloud,1.0,blue,0.0,,,,,,,322,221,121,True,6,321
330,21,1953,17,323232,English,striped,0.0,square,0.0,green,0.0,,,,,,,,,,,,,323,323,323,False,3,333
346,23,912,3,212121,English,cloud,1.0,blue,1.0,polka-dotted,1.0,square,0.95,green,0.8,striped,0.95,,,,,,,121,121,333,False,6,22a2a
347,23,823,4,112111,English,cloud,1.0,green,0.9,blue,0.95,striped,1.0,solid,0.95,square,1.0,polka-dotted,1.0,circle,1.0,,,311,221,133,True,8,211
348,23,2015,5,322122,English,solid,1.0,green,1.0,blue,1.0,square,1.0,striped,1.0,,,,,,,,,323,321,313,True,5,322b
349,23,1204,6,112112,English,cloud,1.0,blue,1.0,red,1.0,solid,1.0,circle,1.0,polka-dotted,1.0,striped,1.0,,,,,112,121,231,True,7,22b1
350,23,906,7,212121,English,solid,1.0,blue,1.0,striped,1.0,circle,1.0,square,1.0,red,1.0,,,,,,,312,312,221,False,6,22a2a
351,23,1952,8,323232,English,blue,0.9,polka-dotted,1.0,cloud,1.0,,,,,,,,,,,,,131,131,131,False,3,333
352,23,1059,9,113212,English,cloud,0.95,circle,0.95,red,0.85,solid,0.85,striped,1.0,square,0.8,,,,,,,212,322,122,True,6,321
353,23,682,10,212211,English,blue,1.0,solid,0.85,green,0.9,cloud,1.0,striped,1.0,polka-dotted,1.0,circle,1.0,,,,,223,133,211,True,7,22b1
354,23,1934,11,111212,English,polka-dotted,1.0,solid,1.0,blue,1.0,red,0.95,cloud,1.0,striped,1.0,circle,1.0,,,,,221,112,132,True,7,22a1
355,23,1994,12,323232,English,circle,1.0,striped,1.0,red,1.0,,,,,,,,,,,,,222,222,222,False,3,333
356,23,453,13,211111,English,circle,1.0,square,1.0,blue,1.0,red,1.0,solid,1.0,cloud,1.0,striped,1.0,polka-dotted,1.0,,,112,332,221,True,8,211
357,23,648,14,112121,English,square,0.7,polka-dotted,0.7,red,0.7,solid,0.85,cloud,0.95,green,0.55,blue,0.9,,,,,333,332,111,True,7,22a1
358,23,1991,15,323232,English,red,0.9,circle,1.0,polka-dotted,0.95,,,,,,,,,,,,,232,232,232,False,3,333
359,23,1512,16,322112,English,polka-dotted,1.0,red,1.0,green,1.0,striped,1.0,cloud,1.0,,,,,,,,,122,123,133,True,5,322b
360,23,2252,17,213232,English,circle,1.0,striped,1.0,green,1.0,red,1.0,,,,,,,,,,,223,223,222,True,4,332
361,24,1415,3,322111,English,square,1.0,solid,1.0,polka-dotted,0.0,red,1.0,circle,0.0,cloud,0.0,,,,,,,112,312,232,True,6,321
362,24,1448,4,322111,English,green,0.0,cloud,0.0,striped,1.0,blue,1.0,solid,1.0,polka-dotted,1.0,,,,,,,123,113,131,True,6,321
363,24,1968,5,323232,English,green,1.0,striped,1.0,square,0.0,,,,,,,,,,,,,323,323,323,False,3,333
364,24,2253,6,213232,English,polka-dotted,0.0,square,1.0,circle,1.0,green,0.0,,,,,,,,,,,233,233,333,True,4,332
365,24,1253,7,111111,English,red,1.0,green,1.0,square,0.0,cloud,0.0,blue,1.0,polka-dotted,0.0,striped,0.0,circle,0.0,solid,0.0,322,211,133,False,9,111
366,24,1919,8,111212,English,blue,1.0,circle,0.0,red,1.0,solid,0.0,cloud,0.0,green,1.0,polka-dotted,0.0,,,,,113,231,232,True,7,22a1
367,24,1157,9,212232,English,cloud,0.0,striped,1.0,red,0.0,blue,1.0,solid,0.0,,,,,,,,,112,122,111,True,5,322b
368,24,355,10,122132,English,cloud,0.0,square,1.0,striped,0.0,blue,1.0,green,0.0,,,,,,,,,121,123,323,True,5,322b
369,24,1461,11,123211,English,polka-dotted,1.0,circle,1.0,solid,0.0,square,0.0,cloud,1.0,green,0.0,,,,,,,333,213,113,True,6,321
370,24,645,12,112121,English,cloud,1.0,blue,0.0,polka-dotted,0.0,circle,1.0,square,1.0,solid,0.0,red,0.0,,,,,232,332,111,True,7,22a1
371,24,733,13,212122,English,red,1.0,circle,0.0,blue,0.0,cloud,0.0,polka-dotted,0.0,striped,1.0,,,,,,,131,132,221,True,6,22a2b
372,24,932,14,212121,English,square,0.0,polka-dotted,0.0,solid,0.0,blue,0.0,green,1.0,circle,0.0,,,,,,,311,311,233,False,6,22a2a
373,24,1685,15,121212,English,cloud,0.0,green,0.0,striped,0.0,polka-dotted,0.0,blue,1.0,square,0.0,,,,,,,331,123,123,False,6,22a2a
374,24,1967,16,323232,English,cloud,1.0,green,0.0,solid,0.0,,,,,,,,,,,,,113,113,113,False,3,333
375,24,718,17,212122,English,cloud,0.0,red,1.0,blue,0.0,striped,0.0,polka-dotted,1.0,circle,0.0,,,,,,,221,231,122,True,6,22a2b
376,25,1967,3,323232,English,solid,1.0,green,1.0,cloud,1.0,,,,,,,,,,,,,113,113,113,False,3,333
377,25,811,4,112111,English,blue,0.0,striped,1.0,square,0.0,cloud,0.0,red,0.0,circle,1.0,green,0.0,polka-dotted,1.0,,,221,123,332,True,8,211
378,25,2274,5,213232,English,solid,1.0,polka-dotted,1.0,blue,0.0,cloud,0.0,,,,,,,,,,,111,111,131,True,4,332
379,25,1713,6,212112,English,polka-dotted,1.0,blue,0.0,green,0.0,square,0.0,striped,0.0,cloud,1.0,,,,,,,333,323,121,True,6,22a2b
380,25,908,7,212121,English,green,0.0,polka-dotted,0.0,red,0.0,square,0.0,solid,1.0,circle,1.0,,,,,,,233,233,312,False,6,22a2a
381,25,365,8,122132,English,solid,1.0,square,0.0,polka-dotted,0.0,green,0.0,circle,1.0,,,,,,,,,313,333,233,True,5,322b
382,25,2157,9,121111,English,circle,1.0,striped,0.0,square,1.0,green,0.0,polka-dotted,1.0,blue,0.0,cloud,0.0,solid,1.0,,,331,113,223,True,8,211
383,25,1982,10,323232,English,cloud,1.0,green,1.0,solid,1.0,,,,,,,,,,,,,113,113,113,False,3,333
384,25,1693,11,121212,English,polka-dotted,0.0,square,1.0,green,0.0,solid,0.0,blue,0.0,circle,1.0,,,,,,,311,233,233,False,6,22a2a
385,25,2368,12,113232,English,circle,1.0,cloud,1.0,blue,0.0,square,1.0,polka-dotted,0.0,,,,,,,,,131,331,231,True,5,331
386,25,1741,13,212112,English,solid,1.0,green,0.0,red,1.0,cloud,0.0,circle,1.0,polka-dotted,0.0,,,,,,,133,132,212,True,6,22a2b
387,25,81,14,122111,English,red,0.0,cloud,0.0,square,0.0,circle,0.0,polka-dotted,1.0,solid,0.0,blue,1.0,,,,,331,232,112,True,7,22b1
388,25,1240,15,112112,English,circle,0.0,blue,0.0,green,0.0,striped,1.0,solid,0.0,square,0.0,red,1.0,,,,,222,321,313,True,7,22b1
389,25,2103,16,111112,English,green,1.0,red,0.0,blue,0.0,cloud,0.0,striped,1.0,circle,0.0,square,0.0,solid,0.0,,,222,111,313,True,8,211
390,25,1989,17,323232,English,cloud,1.0,polka-dotted,1.0,red,1.0,,,,,,,,,,,,,132,132,132,False,3,333
391,26,1552,3,322121,English,circle,1.0,blue,0.0,cloud,0.7,solid,1.0,striped,0.65,,,,,,,,,121,121,211,True,5,322a
392,26,2000,4,323232,English,striped,1.0,circle,1.0,blue,1.0,,,,,,,,,,,,,221,221,221,False,3,333
393,26,1953,5,323232,English,green,1.0,striped,1.0,square,1.0,,,,,,,,,,,,,323,323,323,False,3,333
394,26,1683,6,121212,English,circle,1.0,striped,0.65,blue,1.0,square,0.5,solid,1.0,green,0.5,,,,,,,211,323,323,False,6,22a2a
395,26,51,7,122111,English,blue,0.0,striped,0.0,cloud,1.0,solid,1.0,green,1.0,circle,1.0,square,1.0,,,,,211,121,323,True,7,22b1
396,26,2076,8,321111,English,striped,1.0,green,0.0,solid,1.0,square,1.0,polka-dotted,1.0,cloud,1.0,circle,1.0,,,,,113,323,233,True,7,311
397,26,455,9,211111,English,cloud,1.0,striped,0.0,square,1.0,red,1.0,polka-dotted,1.0,green,1.0,blue,1.0,circle,1.0,,,222,323,131,True,8,211
398,26,400,10,122132,English,red,0.0,striped,0.0,polka-dotted,1.0,green,1.0,square,0.0,,,,,,,,,332,322,323,True,5,322b
399,26,1055,11,113212,English,striped,0.0,circle,0.0,red,1.0,blue,1.0,solid,1.0,green,1.0,,,,,,,211,222,223,True,6,321
400,26,2135,12,111112,English,blue,1.0,green,1.0,solid,1.0,square,1.0,cloud,1.0,striped,0.0,red,1.0,circle,0.95,,,311,123,222,True,8,211
401,26,1470,13,123211,English,circle,1.0,square,1.0,green,1.0,red,0.0,cloud,1.0,polka-dotted,1.0,,,,,,,233,132,332,True,6,321
402,26,858,14,112122,English,green,1.0,circle,1.0,solid,1.0,cloud,0.0,striped,1.0,polka-dotted,1.0,red,0.0,,,,,112,123,232,True,7,22b1
403,26,1672,15,121212,English,green,1.0,circle,1.0,striped,0.0,cloud,0.75,red,0.75,polka-dotted,0.8,,,,,,,223,132,132,False,6,22a2a
404,26,1659,16,121212,English,solid,0.25,polka-dotted,1.0,cloud,0.15,blue,0.2,green,1.0,square,1.0,,,,,,,333,111,111,False,6,22a2a
405,26,1126,17,321212,English,square,0.25,striped,0.2,cloud,1.0,polka-dotted,1.0,green,0.0,,,,,,,,,133,323,323,True,5,322a
406,27,925,3,212121,English,striped,0.3,red,0.7,green,0.3,square,0.7,circle,0.3,polka-dotted,1.0,,,,,,,332,332,223,False,6,22a2a
407,27,1370,4,113211,English,solid,0.25,cloud,0.25,red,1.0,polka-dotted,0.25,striped,0.25,circle,0.25,square,0.25,,,,,312,132,222,True,7,311
408,27,1979,5,323232,English,green,1.0,solid,1.0,square,1.0,,,,,,,,,,,,,313,313,313,False,3,333
409,27,2362,6,113232,English,red,1.0,circle,0.25,cloud,0.25,square,0.25,polka-dotted,1.0,,,,,,,,,132,232,332,True,5,331
410,27,565,7,213212,English,circle,1.0,red,0.25,square,0.25,striped,1.0,green,0.75,,,,,,,,,323,223,222,True,5,322b
411,27,1951,8,323232,English,circle,1.0,green,1.0,polka-dotted,1.0,,,,,,,,,,,,,233,233,233,False,3,333
412,27,462,9,211111,English,green,0.25,solid,0.7,circle,0.25,square,0.25,cloud,0.25,polka-dotted,0.25,red,0.25,blue,0.25,,,311,213,132,True,8,211
413,27,1710,10,212112,English,solid,0.25,striped,0.7,square,1.0,blue,0.25,green,0.7,cloud,0.25,,,,,,,123,323,311,True,6,22a2b
414,27,652,11,212211,English,green,0.25,polka-dotted,0.25,red,0.25,square,0.25,cloud,1.0,solid,1.0,blue,0.25,,,,,112,133,311,True,7,22b1
415,27,1515,12,322112,English,blue,0.7,striped,0.7,circle,1.0,polka-dotted,0.3,green,0.3,,,,,,,,,231,221,223,True,5,322b
416,27,1682,13,121212,English,blue,0.7,polka-dotted,0.25,square,0.25,green,0.25,striped,0.7,cloud,1.0,,,,,,,333,121,121,False,6,22a2a
417,27,1102,14,321212,English,circle,1.0,red,0.25,blue,0.7,striped,0.7,solid,0.25,,,,,,,,,212,221,221,True,5,322a
418,27,1713,15,212112,English,blue,0.25,square,0.7,striped,0.7,cloud,0.25,polka-dotted,0.25,green,0.7,,,,,,,333,323,121,True,6,22a2b
419,27,2169,16,121111,English,blue,0.25,cloud,0.25,circle,0.25,solid,0.25,green,0.25,square,0.25,red,0.25,striped,1.0,,,313,122,221,True,8,211
420,27,1683,17,121212,English,square,0.75,green,0.75,striped,1.0,blue,0.25,circle,0.25,solid,0.25,,,,,,,211,323,323,False,6,22a2a
421,28,1276,3,111111,English,circle,0.75,cloud,0.25,blue,0.4,striped,0.7,square,0.7,green,0.35,polka-dotted,0.25,red,0.4,solid,0.4,221,113,332,False,9,111
422,28,2030,4,322122,English,blue,0.7,cloud,0.45,red,0.5,circle,0.65,striped,0.7,,,,,,,,,222,221,122,True,5,322b
423,28,2044,5,322122,English,red,0.85,circle,0.7,polka-dotted,0.6,striped,0.35,cloud,0.35,,,,,,,,,232,222,132,True,5,322b
424,28,976,6,121112,English,red,0.3,cloud,0.35,green,0.25,polka-dotted,0.45,circle,0.2,blue,0.2,striped,0.15,,,,,222,131,133,True,7,22a1
