targetUttCode,pref3,pref1,response0,name,item,blockNr,Answer.time_in_minutes,slide_number,workerid,targetFeature,featuresPresent,numFeatures,normResponse1,normResponse2,trial_type,normResponse0,sex,targetFeatureNum,response2,pref2,utterance,certainty,obj3,obj1,response1,obj2,uttCode 
311-3,polka-dotted,solid,0,,20630,2,6.32675,21,20,texture,"['cloud', 'blue', 'red', 'green']",4,1,0,task,0,male,2,0,striped,cloud,,133,121,1,112,311
22b1-3,polka-dotted,solid,0,,23891,2,6.32675,22,20,texture,"['circle', 'square', 'red', 'green']",4,1,0,task,0,male,2,0,striped,circle,,233,312,1,222,22b1
,,,,,,,6.32675,,20,,,,,,,,,,,,,1,,,,,
22a1-3,green,blue,0.5,,24222,0,7.702966666666667,3,21,color,"['circle', 'square', 'solid', 'polka-dotted']",4,0.10344827586206895,0.5517241379310345,task,0.3448275862068965,female,3,0.8,red,circle,,233,311,0.15,232,22a1
321-3,green,blue,0.75,,27271,0,7.702966666666667,4,21,color,"['circle', 'square', 'polka-dotted']",3,0.060606060606060615,0.4848484848484849,task,0.4545454545454546,female,3,0.8,red,circle,,333,231,0.1,232,321
22a2b-2a,green,blue,0.75,,20882,0,7.702966666666667,5,21,color,"['cloud', 'square', 'solid', 'polka-dotted']",4,0.029411764705882353,0.5294117647058824,task,0.4411764705882352,female,3,0.9,red,cloud,,133,112,0.05,312,22a2b
211-3,green,blue,0.75,,21642,0,7.702966666666667,6,21,color,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",5,0.029411764705882353,0.5294117647058824,task,0.4411764705882352,female,3,0.9,red,polka-dotted,,133,221,0.05,332,211
,,,,,,,7.702966666666667,,21,,,,,,,,,,,,,0.8,,,,,
22b1-3,polka-dotted,solid,0.5,,15631,1,7.702966666666667,11,21,texture,"['circle', 'square', 'blue', 'green']",4,0.16666666666666666,0.5,task,0.3333333333333333,female,2,0.75,striped,circle,,223,311,0.25,231,22b1
22b2b-2,polka-dotted,solid,0.5,,4861,1,7.702966666666667,12,21,texture,"['cloud', 'square', 'blue', 'red']",4,0.10344827586206895,0.5517241379310345,task,0.3448275862068965,female,2,0.8,striped,blue,,132,121,0.15,331,22b2b
22a2b-2a,polka-dotted,solid,0.5,,7621,1,7.702966666666667,13,21,texture,"['circle', 'square', 'blue', 'red']",4,0.03571428571428572,0.6071428571428572,task,0.35714285714285715,female,2,0.85,striped,red,,332,221,0.05,222,22a2b
22b2b-2,polka-dotted,solid,0.5,,25231,1,7.702966666666667,14,21,texture,"['cloud', 'circle', 'red', 'green']",4,0.03571428571428572,0.6071428571428572,task,0.35714285714285715,female,2,0.85,striped,green,,233,222,0.05,123,22b2b
,,,,,,,7.702966666666667,,21,,,,,,,,,,,,,0.7,,,,,
22a2b-2b,polka-dotted,solid,0.25,,2321,2,7.702966666666667,19,21,texture,"['cloud', 'square', 'blue', 'red']",4,0.5,0.3333333333333333,task,0.16666666666666666,female,2,0.5,striped,square,,122,311,0.75,321,22a2b
22b1-2,polka-dotted,solid,0.25,,25151,2,7.702966666666667,20,21,texture,"['cloud', 'circle', 'square', 'blue', 'green']",5,0.6428571428571429,0.17857142857142858,task,0.17857142857142858,female,2,0.25,striped,green,,233,321,0.9,123,22b1
322b-2,polka-dotted,solid,0.2,,41,2,7.702966666666667,21,21,texture,"['cloud', 'circle', 'blue']",3,0.6896551724137931,0.1724137931034483,task,0.13793103448275862,female,2,0.25,striped,circle,,221,111,1,211,322b
22a2b-2b,polka-dotted,solid,0.2,,18591,2,7.702966666666667,22,21,texture,"['circle', 'square', 'red', 'green']",4,0.7142857142857143,0.14285714285714288,task,0.14285714285714288,female,2,0.2,striped,circle,,323,212,1,222,22a2b
,,,,,,,7.702966666666667,,21,,,,,,,,,,,,,0.6,,,,,
311-3,polka-dotted,solid,1,,20630,0,5.508333333333334,3,22,texture,"['cloud', 'blue', 'red', 'green']",4,0,0,task,1,female,2,0,striped,red,,133,121,0,112,311
311-3,polka-dotted,solid,0,,25711,0,5.508333333333334,4,22,texture,"['cloud', 'circle', 'square', 'green']",4,1,0,task,0,female,2,0,striped,green,,233,113,1,323,311
321-3,polka-dotted,solid,0,,7730,0,5.508333333333334,5,22,texture,"['square', 'blue', 'red']",3,1,0,task,0,female,2,0,striped,red,,332,311,1,322,321
211-3,polka-dotted,solid,0,,14661,0,5.508333333333334,6,22,texture,"['cloud', 'square', 'blue', 'red', 'green']",5,0,1,task,0,female,2,1,striped,red,,123,111,0,332,211
,,,,,,,5.508333333333334,,22,,,,,,,,,,,,,0.75,,,,,
331-3,square,cloud,0.05,,8150,1,5.508333333333334,11,22,shape,"['polka-dotted', 'red']",2,0.95,0,task,0.05,female,1,0,circle,red,,332,132,0.95,232,331
22a2b-2a,square,cloud,0,,10710,1,5.508333333333334,12,22,shape,"['solid', 'striped', 'red', 'green']",4,1,0,task,0,female,1,0,circle,green,,213,312,1,322,22a2b
311-3,square,cloud,0,,6370,1,5.508333333333334,13,22,shape,"['solid', 'striped', 'polka-dotted', 'red']",4,1,0,task,0,female,1,0,circle,polka-dotted,,232,312,1,122,311
321-3,square,cloud,0,,20590,1,5.508333333333334,14,22,shape,"['polka-dotted', 'blue', 'green']",3,1,0,task,0,female,1,0,circle,polka-dotted,,133,231,1,331,321
,,,,,,,5.508333333333334,,22,,,,,,,,,,,,,0.85,,,,,
322b-2,polka-dotted,solid,1,,29201,2,5.508333333333334,19,22,texture,"['circle', 'square', 'green']",3,0,0,task,1,female,2,0,striped,square,,333,313,0,233,322b
22b2b-2,polka-dotted,solid,0.8,,7631,2,5.508333333333334,20,22,texture,"['circle', 'square', 'blue', 'red']",4,0.3846153846153846,0,task,0.6153846153846154,female,2,0,striped,square,,332,321,0.5,222,22b2b
211-3,polka-dotted,solid,0.6,,25621,2,5.508333333333334,21,22,texture,"['cloud', 'circle', 'square', 'red', 'green']",5,0.5555555555555555,0,task,0.4444444444444444,female,2,0,striped,square,,233,112,0.75,323,211
22a2b-2a,polka-dotted,solid,0.55,,23091,2,5.508333333333334,22,22,texture,"['cloud', 'circle', 'blue', 'green']",4,0.6206896551724137,0,task,0.3793103448275862,female,2,0,striped,blue,,233,121,0.9,221,22a2b
,,,,,,,5.508333333333334,,22,,,,,,,,,,,,,0.85,,,,,
311-3,square,cloud,0.1,,6600,0,7.6257166666666665,3,23,shape,"['solid', 'striped', 'polka-dotted', 'red']",4,0.826086956521739,0.08695652173913043,task,0.08695652173913043,male,1,0.1,circle,red,,232,112,0.95,322,311
22a2b-2a,square,cloud,0.1,,3710,0,7.6257166666666665,4,23,shape,"['solid', 'striped', 'blue', 'red']",4,0.9090909090909091,0,task,0.09090909090909091,male,1,0,circle,striped,,322,211,1,221,22a2b
22a2b-2a,square,cloud,0.1,,9990,0,7.6257166666666665,5,23,shape,"['solid', 'polka-dotted', 'blue', 'green']",4,0.9090909090909091,0,task,0.09090909090909091,male,1,0,circle,solid,,213,311,1,331,22a2b
22b1-3,square,cloud,0,,4840,0,7.6257166666666665,6,23,shape,"['solid', 'polka-dotted', 'blue', 'red']",4,1,0,task,0,male,1,0,circle,polka-dotted,,132,211,1,331,22b1
,,,,,,,7.6257166666666665,,23,,,,,,,,,,,,,1,,,,,
22a2b-2b,square,cloud,0.5,,13150,1,7.6257166666666665,11,23,shape,"['solid', 'striped', 'blue', 'green']",4,0.5833333333333334,0,task,0.4166666666666667,male,1,0,circle,solid,,313,221,0.7,213,22a2b
22a2b-2b,square,cloud,0.7,,970,1,7.6257166666666665,12,23,shape,"['solid', 'striped', 'blue', 'red']",4,0.5,0,task,0.5,male,1,0,circle,striped,,112,121,0.7,321,22a2b
322b-2,square,cloud,0.6,,500,1,7.6257166666666665,13,23,shape,"['solid', 'polka-dotted', 'blue']",3,0.625,0,task,0.37499999999999994,male,1,0,circle,polka-dotted,,231,111,1,131,322b
322b-2,square,cloud,0.6,,28930,1,7.6257166666666665,14,23,shape,"['polka-dotted', 'red', 'green']",3,0.625,0,task,0.37499999999999994,male,1,0,circle,polka-dotted,,333,332,1,133,322b
,,,,,,,7.6257166666666665,,23,,,,,,,,,,,,,1,,,,,
22b1-2,polka-dotted,solid,0,,8391,2,7.6257166666666665,19,23,texture,"['cloud', 'circle', 'square', 'blue', 'green']",5,0.4166666666666667,0.5833333333333334,task,0,male,2,0.7,striped,blue,,113,311,0.5,231,22b1
22b2b-2,polka-dotted,solid,0,,4861,2,7.6257166666666665,20,23,texture,"['cloud', 'square', 'blue', 'red']",4,0.3548387096774194,0.6451612903225806,task,0,male,2,1,striped,cloud,,132,121,0.55,331,22b2b
22a1-3,polka-dotted,solid,0,,28531,2,7.6257166666666665,21,23,texture,"['cloud', 'square', 'blue', 'green']",4,0.28571428571428575,0.7142857142857143,task,0,male,2,1,striped,green,,333,111,0.4,323,22a1
22a1-3,polka-dotted,solid,0,,24761,2,7.6257166666666665,22,23,texture,"['circle', 'square', 'blue', 'green']",4,0.28571428571428575,0.7142857142857143,task,0,male,2,1,striped,circle,,233,321,0.4,213,22a1
,,,,,,,7.6257166666666665,,23,,,,,,,,,,,,,1,,,,,
331-3,square,cloud,0,,2190,0,7.7513,3,24,shape,"['solid', 'red']",2,0,1,task,0,female,1,1,circle,solid,,312,112,0,212,331
322b-2,square,cloud,1,,40,0,7.7513,4,24,shape,"['solid', 'striped', 'blue']",3,0,0,task,1,female,1,0,circle,blue,,221,111,0,211,322b
211-3,square,cloud,1,,2820,0,7.7513,5,24,shape,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",5,0,0,task,1,female,1,0,circle,striped,,122,231,0,312,211
22b1-3,square,cloud,0,,27180,0,7.7513,6,24,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0,1,task,0,female,1,1,circle,polka-dotted,,333,222,0,132,22b1
,,,,,,,7.7513,,24,,,,,,,,,,,,,0.7,,,,,
321-2,square,cloud,0.95,,11780,1,7.7513,11,24,shape,"['solid', 'blue', 'red', 'green']",4,0,0,task,1,female,1,0,circle,red,,313,311,0,112,321
22a2b-2b,square,cloud,0,,29010,1,7.7513,12,24,shape,"['solid', 'polka-dotted', 'blue', 'green']",4,0,1,task,0,female,1,1,circle,polka-dotted,,333,211,0,233,22a2b
22a2b-2a,square,cloud,0,,3710,1,7.7513,13,24,shape,"['solid', 'striped', 'blue', 'red']",4,0,1,task,0,female,1,1,circle,striped,,322,211,0,221,22a2b
211-3,square,cloud,1,,22570,1,7.7513,14,24,shape,"['solid', 'striped', 'polka-dotted', 'blue', 'green']",5,0,0,task,1,female,1,0,circle,polka-dotted,,133,311,0,223,211
,,,,,,,7.7513,,24,,,,,,,,,,,,,0.75,,,,,
211-3,square,cloud,0,,15180,2,7.7513,19,24,shape,"['solid', 'striped', 'polka-dotted', 'red', 'green']",5,0,1,task,0,female,1,0.8,circle,polka-dotted,,123,332,0,213,211
211-3,square,cloud,0.7,,21070,2,7.7513,20,24,shape,"['striped', 'polka-dotted', 'blue', 'red', 'green']",5,0,0.48148148148148145,task,0.5185185185185185,female,1,0.65,circle,green,,133,321,0,222,211
321-3,square,cloud,0.7,,7920,2,7.7513,21,24,shape,"['polka-dotted', 'blue', 'red']",3,0,0.5172413793103449,task,0.48275862068965514,female,1,0.75,circle,red,,332,231,0,132,321
322b-2,square,cloud,0.8,,330,2,7.7513,22,24,shape,"['striped', 'polka-dotted', 'blue']",3,0,0.48387096774193544,task,0.5161290322580645,female,1,0.75,circle,polka-dotted,,131,121,0,321,322b
,,,,,,,7.7513,,24,,,,,,,,,,,,,0.75,,,,,
321-2,polka-dotted,solid,0.2,,27410,0,3.1100833333333333,3,25,texture,"['square', 'blue', 'red', 'green']",4,0.72,0.12,task,0.16,female,2,0.15,striped,square,,333,321,0.9,332,321
311-3,polka-dotted,solid,0.35,,22961,0,3.1100833333333333,4,25,texture,"['cloud', 'circle', 'square', 'green']",4,0.6363636363636364,0.04545454545454546,task,0.3181818181818182,female,2,0.05,striped,green,,133,213,0.7,323,311
22a1-3,polka-dotted,solid,0.35,,3861,0,3.1100833333333333,5,25,texture,"['circle', 'square', 'blue', 'red']",4,0.6363636363636364,0.04545454545454546,task,0.3181818181818182,female,2,0.05,striped,blue,,322,211,0.7,231,22a1
322b-2,polka-dotted,solid,0.4,,25971,0,3.1100833333333333,6,25,texture,"['cloud', 'circle', 'green']",3,0.6399999999999999,0.039999999999999994,task,0.31999999999999995,female,2,0.05,striped,green,,233,123,0.8,133,322b
,,,,,,,3.1100833333333333,,25,,,,,,,,,,,,,0.35,,,,,
22a2b-2b,polka-dotted,solid,0.4,,28571,1,3.1100833333333333,11,25,texture,"['circle', 'square', 'blue', 'green']",4,0.5384615384615384,0.15384615384615385,task,0.3076923076923077,female,2,0.2,striped,green,,333,221,0.7,323,22a2b
22a1-3,polka-dotted,solid,0.4,,28531,1,3.1100833333333333,12,25,texture,"['cloud', 'square', 'blue', 'green']",4,0.5833333333333333,0.08333333333333333,task,0.3333333333333333,female,2,0.1,striped,green,,333,111,0.7,323,22a1
311-3,polka-dotted,solid,0.4,,22961,1,3.1100833333333333,13,25,texture,"['cloud', 'circle', 'square', 'green']",4,0.6666666666666666,0.037037037037037035,task,0.2962962962962963,female,2,0.05,striped,green,,133,213,0.9,323,311
22a1-3,polka-dotted,solid,0.55,,2501,1,3.1100833333333333,14,25,texture,"['cloud', 'square', 'blue', 'red']",4,0.6,0.03333333333333333,task,0.36666666666666664,female,2,0.05,striped,blue,,122,311,0.9,331,22a1
,,,,,,,3.1100833333333333,,25,,,,,,,,,,,,,0.65,,,,,
321-2,polka-dotted,solid,0.4,,16190,2,3.1100833333333333,19,25,texture,"['circle', 'blue', 'red', 'green']",4,0.5151515151515151,0.24242424242424246,task,0.24242424242424246,female,2,0.4,striped,circle,,223,211,0.85,222,321
22b1-3,polka-dotted,solid,0.85,,19161,2,3.1100833333333333,20,25,texture,"['cloud', 'square', 'red', 'green']",4,0.34285714285714286,0.17142857142857143,task,0.4857142857142857,female,2,0.3,striped,red,,323,112,0.6,332,22b1
22b1-3,polka-dotted,solid,0.85,,22561,2,3.1100833333333333,21,25,texture,"['cloud', 'circle', 'blue', 'green']",4,0.34285714285714286,0.17142857142857143,task,0.4857142857142857,female,2,0.3,striped,green,,133,211,0.6,223,22b1
22b1-2,polka-dotted,solid,0.85,,18501,2,3.1100833333333333,22,25,texture,"['circle', 'square', 'blue', 'red', 'green']",5,0.35294117647058826,0.14705882352941177,task,0.5,female,2,0.25,striped,circle,,323,211,0.6,222,22b1
,,,,,,,3.1100833333333333,,25,,,,,,,,,,,,,0.4,,,,,
22a1-3,green,blue,0.3,,10802,0,7.41495,3,26,color,"['cloud', 'circle', 'solid', 'polka-dotted']",4,0.48387096774193544,0.3225806451612903,task,0.1935483870967742,female,3,0.5,red,cloud,,213,131,0.75,132,22a1
22a2b-2b,green,blue,0.05,,4102,0,7.41495,4,26,color,"['circle', 'square', 'solid', 'striped']",4,0.6333333333333333,0.3333333333333333,task,0.03333333333333333,female,3,0.5,red,circle,,322,211,0.95,212,22a2b
22b2b-2,green,blue,0,,1942,0,7.41495,5,26,color,"['circle', 'square', 'solid', 'polka-dotted']",4,0.6666666666666666,0.3333333333333333,task,0,female,3,0.5,red,solid,,312,211,1,331,22b2b
22a1-3,green,blue,0,,8592,0,7.41495,6,26,color,"['cloud', 'circle', 'solid', 'polka-dotted']",4,0.6,0.4,task,0,female,3,0.5,red,cloud,,113,231,0.75,112,22a1
,,,,,,,7.41495,,26,,,,,,,,,,,,,0.35,,,,,
331-3,polka-dotted,solid,0.75,,420,1,7.41495,11,26,texture,"['circle', 'blue']",2,0.2857142857142857,0.2857142857142857,task,0.42857142857142855,female,2,0.5,striped,blue,,231,211,0.5,221,331
311-3,polka-dotted,solid,0.85,,25711,1,7.41495,12,26,texture,"['cloud', 'circle', 'square', 'green']",4,0.27027027027027023,0.27027027027027023,task,0.45945945945945943,female,2,0.5,striped,green,,233,113,0.5,323,311
22b2b-2,polka-dotted,solid,1,,21691,1,7.41495,13,26,texture,"['cloud', 'square', 'red', 'green']",4,0.2777777777777778,0.16666666666666666,task,0.5555555555555556,female,2,0.3,striped,red,,133,112,0.5,332,22b2b
321-2,polka-dotted,solid,1,,10960,1,7.41495,14,26,texture,"['circle', 'blue', 'red', 'green']",4,0.3225806451612903,0.03225806451612903,task,0.6451612903225806,female,2,0.05,striped,circle,,213,231,0.5,232,321
,,,,,,,7.41495,,26,,,,,,,,,,,,,0.65,,,,,
321-2,green,blue,0.7,,12941,2,7.41495,19,26,color,"['cloud', 'circle', 'square', 'solid']",4,0.3448275862068966,0.1724137931034483,task,0.48275862068965514,female,3,0.25,red,solid,,313,211,0.5,113,321
321-3,green,blue,0.55,,16671,2,7.41495,20,26,color,"['circle', 'striped', 'polka-dotted']",3,0.5,0.15625,task,0.34375,female,3,0.25,red,circle,,223,231,0.8,232,321
311-3,green,blue,0.55,,18411,2,7.41495,21,26,color,"['cloud', 'circle', 'square', 'striped']",4,0.5294117647058824,0.14705882352941174,task,0.3235294117647059,female,3,0.25,red,striped,,323,221,0.9,122,311
322b-2,green,blue,0.55,,26301,2,7.41495,22,26,color,"['square', 'solid', 'polka-dotted']",3,0.5806451612903225,0.06451612903225806,task,0.3548387096774193,female,3,0.1,red,polka-dotted,,333,311,0.9,331,322b
,,,,,,,7.41495,,26,,,,,,,,,,,,,0.8,,,,,
22b2b-2,square,cloud,0.3,,4860,0,9.3428,3,27,shape,"['striped', 'polka-dotted', 'blue', 'red']",4,0.2222222222222222,0.5555555555555555,task,0.2222222222222222,male,1,0.75,circle,polka-dotted,,132,121,0.3,331,22b2b
211-3,square,cloud,0.3,,11590,0,9.3428,4,27,shape,"['solid', 'striped', 'polka-dotted', 'blue', 'green']",5,0.34375,0.46875,task,0.18749999999999997,male,1,0.75,circle,blue,,313,221,0.55,131,211
22b2b-2,square,cloud,0.3,,25230,0,9.3428,5,27,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0.34375,0.46875,task,0.18749999999999997,male,1,0.75,circle,striped,,233,222,0.55,123,22b2b
321-2,square,cloud,0.3,,11780,0,9.3428,6,27,shape,"['solid', 'blue', 'red', 'green']",4,0.3333333333333333,0.48484848484848486,task,0.1818181818181818,male,1,0.8,circle,solid,,313,311,0.55,112,321
,,,,,,,9.3428,,27,,,,,,,,,,,,,0.85,,,,,
22a2b-2a,square,cloud,0.5,,24600,1,9.3428,11,27,shape,"['solid', 'polka-dotted', 'blue', 'green']",4,0.4117647058823529,0.29411764705882354,task,0.29411764705882354,male,1,0.5,circle,green,,233,231,0.7,113,22a2b
331-3,square,cloud,0.5,,20230,1,9.3428,12,27,shape,"['striped', 'green']",2,0.4117647058823529,0.29411764705882354,task,0.29411764705882354,male,1,0.5,circle,striped,,323,123,0.7,223,331
321-3,square,cloud,0.5,,2850,1,9.3428,13,27,shape,"['solid', 'striped', 'red']",3,0.4117647058823529,0.29411764705882354,task,0.29411764705882354,male,1,0.5,circle,solid,,122,212,0.7,312,321
321-2,square,cloud,0.6,,18420,1,9.3428,14,27,shape,"['striped', 'blue', 'red', 'green']",4,0.4571428571428572,0.19999999999999998,task,0.34285714285714286,male,1,0.35,circle,striped,,323,321,0.8,122,321
,,,,,,,9.3428,,27,,,,,,,,,,,,,0.65,,,,,
22a2b-2a,square,cloud,0.8,,19330,2,9.3428,19,27,shape,"['solid', 'striped', 'red', 'green']",4,0.2777777777777778,0.2777777777777778,task,0.4444444444444445,male,1,0.5,circle,green,,323,112,0.5,113,22a2b
331-3,square,cloud,0.65,,2190,2,9.3428,20,27,shape,"['solid', 'red']",2,0.45945945945945943,0.18918918918918917,task,0.35135135135135137,male,1,0.35,circle,red,,312,112,0.85,212,331
322b-2,square,cloud,0.65,,3550,2,9.3428,21,27,shape,"['striped', 'blue', 'red']",3,0.5,0.11764705882352942,task,0.3823529411764706,male,1,0.2,circle,red,,222,121,0.85,122,322b
22a2b-2b,square,cloud,0.65,,24040,2,9.3428,22,27,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0.5,0.11764705882352942,task,0.3823529411764706,male,1,0.2,circle,red,,233,222,0.85,322,22a2b
,,,,,,,9.3428,,27,,,,,,,,,,,,,0.75,,,,,
22b1-2,square,cloud,0.65,,26550,0,3.0658166666666666,3,28,shape,"['solid', 'polka-dotted', 'blue', 'red', 'green']",5,0.2777777777777778,0,task,0.7222222222222222,female,1,0,circle,solid,,333,111,0.25,312,22b1
22b1-3,square,cloud,0.7,,22690,0,3.0658166666666666,4,28,shape,"['striped', 'polka-dotted', 'red', 'green']",4,0.2631578947368421,0,task,0.7368421052631579,female,1,0,circle,green,,133,322,0.25,223,22b1
22b1-3,square,cloud,0,,26190,0,3.0658166666666666,5,28,shape,"['striped', 'polka-dotted', 'blue', 'green']",4,1,0,task,0,female,1,0,circle,striped,,333,221,1,131,22b1
331-3,square,cloud,1,,2190,0,3.0658166666666666,6,28,shape,"['solid', 'red']",2,0.25000000000000006,0.12500000000000003,task,0.625,female,1,0.2,circle,red,,312,112,0.4,212,331
,,,,,,,3.0658166666666666,,28,,,,,,,,,,,,,0.7,,,,,
321-3,square,cloud,0.3,,11400,1,3.0658166666666666,11,28,shape,"['solid', 'blue', 'green']",3,0.7692307692307692,0,task,0.23076923076923075,female,1,0,circle,blue,,313,111,1,211,321
211-3,square,cloud,1,,10370,1,3.0658166666666666,12,28,shape,"['solid', 'striped', 'blue', 'red', 'green']",5,0.393939393939394,0,task,0.6060606060606061,female,1,0,circle,striped,,213,311,0.65,122,211
22b2b-2,square,cloud,1,,3950,1,3.0658166666666666,13,28,shape,"['striped', 'polka-dotted', 'blue', 'red']",4,0.37499999999999994,0,task,0.625,female,1,0,circle,blue,,322,121,0.6,331,22b2b
321-2,square,cloud,1,,16090,1,3.0658166666666666,14,28,shape,"['striped', 'blue', 'red', 'green']",4,0.28571428571428575,0,task,0.7142857142857143,female,1,0,circle,blue,,223,121,0.4,122,321
,,,,,,,3.0658166666666666,,28,,,,,,,,,,,,,1,,,,,
321-3,polka-dotted,solid,0,,381,2,3.0658166666666666,19,28,texture,"['cloud', 'circle', 'blue']",3,0,1,task,0,female,2,1,striped,circle,,231,111,0,121,321
22a2b-2b,polka-dotted,solid,0,,7771,2,3.0658166666666666,20,28,texture,"['cloud', 'square', 'blue', 'red']",4,0,1,task,0,female,2,1,striped,cloud,,332,131,0,322,22a2b
322b-2,polka-dotted,solid,0,,7430,2,3.0658166666666666,21,28,texture,"['square', 'blue', 'red']",3,0,1,task,0,female,2,1,striped,blue,,332,331,0,312,322b
321-2,polka-dotted,solid,0,,20660,2,3.0658166666666666,22,28,texture,"['cloud', 'blue', 'red', 'green']",4,0,1,task,0,female,2,1,striped,blue,,133,131,0,112,321
,,,,,,,3.0658166666666666,,28,,,,,,,,,,,,,1,,,,,
22a2b-2b,green,blue,0.7,,4102,0,14.800416666666667,3,29,color,"['circle', 'square', 'solid', 'striped']",4,0.5,0.15,task,0.35,female,3,0.3,red,striped,,322,211,1,212,22a2b
22b2b-2,green,blue,0.7,,4112,0,14.800416666666667,4,29,color,"['circle', 'square', 'solid', 'striped']",4,0.5,0.15,task,0.35,female,3,0.3,red,striped,,322,311,1,212,22b2b
211-3,green,blue,0.7,,10422,0,14.800416666666667,5,29,color,"['cloud', 'circle', 'solid', 'striped', 'polka-dotted']",5,0.5,0.15,task,0.35,female,3,0.3,red,striped,,213,231,1,122,211
311-3,green,blue,0.7,,8721,0,14.800416666666667,6,29,color,"['cloud', 'circle', 'square', 'solid']",4,0.5,0.15,task,0.35,female,3,0.3,red,square,,113,211,1,312,311
,,,,,,,14.800416666666667,,29,,,,,,,,,,,,,1,,,,,
22b1-3,polka-dotted,solid,0.35,,22561,1,14.800416666666667,11,29,texture,"['cloud', 'circle', 'blue', 'green']",4,0.27586206896551724,0.48275862068965514,task,0.24137931034482757,female,2,0.7,striped,cloud,,133,211,0.4,223,22b1
321-2,polka-dotted,solid,0.35,,12000,1,14.800416666666667,12,29,texture,"['square', 'blue', 'red', 'green']",4,0.3235294117647059,0.47058823529411764,task,0.20588235294117643,female,2,0.8,striped,green,,313,321,0.55,312,321
321-2,polka-dotted,solid,0.35,,20660,1,14.800416666666667,13,29,texture,"['cloud', 'blue', 'red', 'green']",4,0.2333333333333333,0.5333333333333333,task,0.2333333333333333,female,2,0.8,striped,green,,133,131,0.35,112,321
22b1-2,polka-dotted,solid,0.35,,25151,1,14.800416666666667,14,29,texture,"['cloud', 'circle', 'square', 'blue', 'green']",5,0.2333333333333333,0.5333333333333333,task,0.2333333333333333,female,2,0.8,striped,cloud,,233,321,0.35,123,22b1
,,,,,,,14.800416666666667,,29,,,,,,,,,,,,,0,,,,,
321-2,green,blue,1,,12941,2,14.800416666666667,19,29,color,"['cloud', 'circle', 'square', 'solid']",4,0.09090909090909091,0,task,0.9090909090909091,female,3,0,red,cloud,,313,211,0.1,113,321
321-2,green,blue,1,,7071,2,14.800416666666667,20,29,color,"['cloud', 'circle', 'square', 'polka-dotted']",4,0,0,task,1,female,3,0,red,circle,,332,131,0,231,321
22a1-3,green,blue,1,,14532,2,14.800416666666667,21,29,color,"['cloud', 'circle', 'striped', 'polka-dotted']",4,0,0,task,1,female,3,0,red,cloud,,123,121,0,232,22a1
22b1-2,green,blue,1,,1812,2,14.800416666666667,22,29,color,"['cloud', 'circle', 'square', 'solid', 'polka-dotted']",5,0,0,task,1,female,3,0,red,circle,,312,211,0,131,22b1
,,,,,,,14.800416666666667,,29,,,,,,,,,,,,,1,,,,,
321-3,square,cloud,0.65,,9700,0,6.943516666666667,3,30,shape,"['solid', 'blue', 'green']",3,0.17857142857142858,0.35714285714285715,task,0.46428571428571436,male,1,0.5,circle,solid,,213,111,0.25,311,321
22a2b-2a,square,cloud,0.5,,12710,0,6.943516666666667,4,30,shape,"['solid', 'polka-dotted', 'red', 'green']",4,0.26666666666666666,0.39999999999999997,task,0.3333333333333333,male,1,0.6,circle,polka-dotted,,313,312,0.4,232,22a2b
22b2b-2,square,cloud,0.75,,5070,0,6.943516666666667,5,30,shape,"['solid', 'polka-dotted', 'blue', 'red']",4,0.30303030303030304,0.24242424242424246,task,0.4545454545454546,male,1,0.4,circle,polka-dotted,,132,231,0.5,212,22b2b
211-3,square,cloud,0.8,,5700,0,6.943516666666667,6,30,shape,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",5,0.34210526315789475,0.23684210526315788,task,0.42105263157894735,male,1,0.45,circle,polka-dotted,,232,111,0.65,321,211
,,,,,,,6.943516666666667,,30,,,,,,,,,,,,,0.6,,,,,
322b-2,square,cloud,0.65,,28930,1,6.943516666666667,11,30,shape,"['polka-dotted', 'red', 'green']",3,0.2692307692307692,0.23076923076923075,task,0.5,male,1,0.3,circle,green,,333,332,0.35,133,322b
22a1-3,square,cloud,0.7,,4690,1,6.943516666666667,12,30,shape,"['striped', 'polka-dotted', 'blue', 'red']",4,0.2272727272727273,0.13636363636363638,task,0.6363636363636364,male,1,0.15,circle,polka-dotted,,132,221,0.25,321,22a1
321-2,square,cloud,0.8,,16210,1,6.943516666666667,13,30,shape,"['striped', 'blue', 'red', 'green']",4,0.18181818181818182,0.09090909090909091,task,0.7272727272727273,male,1,0.1,circle,striped,,223,121,0.2,222,321
322b-2,square,cloud,0.85,,16440,1,6.943516666666667,14,30,shape,"['striped', 'red', 'green']",3,0.24,0.08,task,0.6799999999999999,male,1,0.1,circle,striped,,223,222,0.3,322,322b
,,,,,,,6.943516666666667,,30,,,,,,,,,,,,,0.55,,,,,
22a1-3,green,blue,0.2,,13972,2,6.943516666666667,19,30,color,"['cloud', 'circle', 'solid', 'striped']",4,0.23076923076923075,0.6153846153846154,task,0.15384615384615385,male,3,0.8,red,striped,,123,211,0.3,122,22a1
