"","X","workerid","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","orderObjNum1","orderObjNum2","orderObjNum3","simulatedAnswerObjNum","utteranceNum","evalNumModel","allPresentFeaValues","ambiguous","preferencesPrior1","preferencesPrior2","preferencesPrior3"
"352",352,21,"striped",313,0.5,30,212,4,0.3125,"solid","texture",10.4254333333333,0,"task",212,313,"solid","task","striped",0.75,233,"3","striped",2,0.15625,"male",212,"polka-dotted",0.53125,3,233,"polka-dotted",1,"circle","22b2b",0.85,"polka-dotted","['circle', 'square', 'red', 'green']",0.5,"22b2b-2","solid",0.25,25001,3,2,1,"english","Male",NA,38,"Yes",21,11,26,11,"2","3","3, 4, 9, 2, 4, 8, 2, 6, 9",TRUE,0.107142857142857,0.793650793650794,0.0992063492063492
"356",356,22,"circle",211,1,6,111,3,0.653846153846154,"square","shape",8.4898,0.5,"task",111,211,"cloud","task","cloud",1,321,"3","cloud",1,0.346153846153846,"female",111,"circle",0,0,321,"circle",0,"blue","321",0,"square","['solid', 'striped', 'blue']",0.85,"321-3","square",0.45,100,3,3,2,"English","Female","That was fun!",33,"Yes",2,1,6,1,"7","3","2, 4, 7, 1, 4, 7, 3, 5, 7",TRUE,0.701754385964912,0.140350877192982,0.157894736842105
"360",360,22,"red",133,0,14,133,4,0,"red","color",8.4898,1,"task",112,332,"blue","task","green",1,332,"3","green",3,1,"female",112,"blue",0,1,133,"blue",0.5,"cloud","22b2b",0,"green","['cloud', 'square', 'solid', 'polka-dotted']",0,"22b2b-2","red",1,21692,3,3,2,"English","Female","That was fun!",33,"Yes",25,10,18,25,"1","3","1, 6, 9, 1, 4, 8, 3, 6, 8",TRUE,0.0793650793650793,0.285714285714286,0.634920634920635
"364",364,22,"circle",221,0,22,221,4,0,"circle","shape",8.4898,1,"task",221,222,"cloud","task","circle",1,332,"2","square",1,0.173913043478261,"female",222,"cloud",0.826086956521739,2,332,"cloud",0.5,"striped","22a2b",0.95,"square","['striped', 'polka-dotted', 'blue', 'red']",0,"22a2b-2a","square",0.2,7620,3,3,2,"English","Female","That was fun!",33,"Yes",5,14,18,5,"5","3","2, 5, 7, 2, 5, 8, 3, 6, 8",FALSE,0.117647058823529,0.176470588235294,0.705882352941177
"368",368,22,"red",122,0,30,122,4,0,"green","color",8.4898,0.5,"task",311,122,"blue","task","red",1,311,"3","red",3,0.230769230769231,"female",323,"blue",0.769230769230769,3,323,"blue",1,"striped","22b1",1,"green","['cloud', 'square', 'solid', 'striped']",0,"22b1-3","green",0.3,18392,3,3,2,"English","Female","That was fun!",33,"Yes",13,24,3,13,"5","2","1, 5, 8, 3, 5, 9, 3, 4, 7",TRUE,0.146771037181996,0.782778864970646,0.0704500978473581
"420",420,26,"red",123,0,6,231,4,0.391304347826087,"green","color",12.6059833333333,0.5,"task",231,122,"blue","task","blue",0.45,231,"0","red",3,0.304347826086957,"male",122,"red",0.304347826086957,0,123,"blue",1,"polka-dotted","22a1",0.7,"green","['cloud', 'circle', 'striped', 'polka-dotted']",0.9,"22a1-3","green",0.7,14032,3,2,2,"english","Female","Interesting!",41,"Yes",22,13,8,8,"6","3","1, 5, 9, 1, 5, 8, 2, 6, 7",FALSE,0.222222222222222,0.444444444444444,0.333333333333333
"424",424,26,"striped",323,0.5,14,233,4,0.1875,"solid","texture",12.6059833333333,1,"task",113,323,"solid","task","polka-dotted",0.75,233,"2","polka-dotted",2,0.625,"male",113,"solid",0.1875,1,233,"striped",0,"green","311",0.3,"polka-dotted","['cloud', 'circle', 'square', 'green']",0.3,"311-3","striped",1,25711,3,2,2,"english","Female","Interesting!",41,"Yes",24,19,26,26,"9","2","3, 5, 9, 1, 4, 9, 2, 6, 9",TRUE,0.0555555555555556,0.0555555555555556,0.888888888888889
"428",428,26,"striped",123,1,22,233,5,0.526315789473684,"polka-dotted","texture",12.6059833333333,0.5,"task",321,123,"solid","task","solid",0.8,233,"3","solid",2,0.447368421052632,"male",321,"striped",0.0263157894736842,2,233,"striped",0,"green","22b1",0.05,"polka-dotted","['cloud', 'circle', 'square', 'blue', 'green']",1,"22b1-2","polka-dotted",0.85,25151,3,2,2,"english","Female","Interesting!",41,"Yes",22,6,26,26,"9","3","1, 5, 9, 3, 5, 7, 2, 6, 9",TRUE,0.480769230769231,0.0384615384615385,0.480769230769231
"432",432,26,"striped",332,0.5,30,133,4,0.0416666666666667,"solid","texture",12.6059833333333,1,"task",332,113,"solid","task","polka-dotted",0.7,133,"2","polka-dotted",2,0.75,"male",113,"solid",0.208333333333333,3,133,"striped",0,"green","22a2b",0.25,"polka-dotted","['cloud', 'square', 'red', 'green']",0.05,"22a2b-2b","striped",0.9,21941,3,2,2,"english","Female","Interesting!",41,"Yes",18,19,25,25,"9","1","3, 6, 8, 1, 4, 9, 1, 6, 9",TRUE,0.021953896816685,0.740944017563117,0.237102085620198
"436",436,27,"circle",122,0,6,223,4,0,"square","shape",6.6877,0.5,"task",122,223,"cloud","task","circle",1,233,"3","circle",1,0,"female",223,"cloud",1,0,233,"cloud",1,"striped","22a2b",1,"square","['striped', 'polka-dotted', 'red', 'green']",0,"22a2b-2a","square",0,25430,3,3,2,"English","Female",NA,35,"Yes",13,23,26,23,"5","3","1, 5, 8, 2, 5, 9, 2, 6, 9",TRUE,0.240384615384615,0.519230769230769,0.240384615384615
"440",440,27,"striped",113,0,14,133,4,0,"polka-dotted","texture",6.6877,0.5,"task",311,113,"solid","task","striped",1,311,"2","striped",2,0.5,"female",133,"solid",0.5,1,133,"solid",1,"cloud","22a2b",1,"polka-dotted","['cloud', 'square', 'blue', 'green']",0,"22a2b-2b","polka-dotted",1,21791,3,3,2,"English","Female",NA,35,"Yes",19,25,3,25,"1","3","1, 4, 9, 1, 6, 9, 3, 4, 7",TRUE,0.0224719101123596,0.808988764044944,0.168539325842697
"444",444,27,"red",232,0.5,22,131,4,0.5,"blue","color",6.6877,1,"task",131,232,"blue","task","blue",0.85,131,"3","green",3,0.5,"female",223,"red",0,2,223,"red",0,"polka-dotted","22b1",0,"green","['cloud', 'circle', 'striped', 'polka-dotted']",1,"22b1-3","green",1,16662,3,3,2,"English","Female",NA,35,"Yes",17,23,7,7,"6","2","2, 6, 8, 2, 5, 9, 1, 6, 7",TRUE,0.25,0.375,0.375
"448",448,27,"circle",333,0.5,30,223,4,0,"cloud","shape",6.6877,0,"task",121,223,"cloud","task","circle",0.65,121,"2","circle",1,0,"female",223,"cloud",1,3,333,"square",1,"striped","22b1",1,"square","['striped', 'polka-dotted', 'blue', 'green']",0,"22b1-3","square",0,28340,3,3,2,"English","Female",NA,35,"Yes",27,23,4,23,"5","3","3, 6, 9, 2, 5, 9, 1, 5, 7",TRUE,0.138248847926267,0.737327188940092,0.124423963133641
"468",468,29,"striped",311,0.5,6,221,5,0,"solid","texture",7.88821666666667,0,"task",311,221,"solid","task","striped",1,221,"2","striped",2,0,"male",123,"solid",1,0,123,"polka-dotted",1,"blue","22b1",1,"polka-dotted","['cloud', 'circle', 'square', 'blue', 'green']",0,"22b1-2","polka-dotted",0,13381,3,2,2,"english","Male",NA,33,"Yes",3,22,5,5,"7","2","3, 4, 7, 1, 5, 9, 2, 5, 7",TRUE,0.12972972972973,0.437837837837838,0.432432432432432
"472",472,29,"red",131,1,14,131,4,1,"green","color",7.88821666666667,0.5,"task",131,122,"blue","task","blue",1,333,"3","blue",3,0,"male",122,"red",0,1,333,"red",0,"cloud","22b1",0,"green","['cloud', 'square', 'striped', 'polka-dotted']",1,"22b1-3","green",0,26722,3,2,2,"english","Male",NA,33,"Yes",7,13,27,7,"1","2","1, 6, 7, 1, 5, 8, 3, 6, 9",TRUE,0.439024390243902,0.121951219512195,0.439024390243902
"476",476,29,"red",221,0.5,22,122,4,0,"blue","color",7.88821666666667,0,"task",221,122,"blue","task","red",0.5,322,"2","red",3,0,"male",122,"blue",1,2,322,"green",1,"striped","321",1,"green","['cloud', 'circle', 'square', 'striped']",0,"321-2","green",0,4341,3,2,2,"english","Male",NA,33,"Yes",5,13,15,13,"5","2","2, 5, 7, 1, 5, 8, 3, 5, 8",TRUE,0.0526315789473684,0.842105263157895,0.105263157894737
"480",480,29,"circle",233,1,30,133,3,1,"circle","shape",7.88821666666667,0,"task",123,133,"cloud","task","cloud",1,123,"2","cloud",1,0,"male",133,"circle",0,3,233,"square",0.5,"green","322b",0,"square","['striped', 'polka-dotted', 'green']",1,"322b-2","square",0,25970,3,2,2,"english","Male",NA,33,"Yes",26,25,22,25,"9","3","2, 6, 9, 1, 6, 9, 1, 5, 9",TRUE,0.6,0.222222222222222,0.177777777777778
"484",484,30,"circle",333,1,6,133,3,0.555555555555556,"square","shape",12.11975,0.5,"task",332,133,"cloud","task","cloud",1,332,"3","cloud",1,0.222222222222222,"male",133,"circle",0.222222222222222,0,333,"circle",0,"polka-dotted","322b",0.4,"square","['polka-dotted', 'red', 'green']",1,"322b-2","square",0.4,28930,3,1,2,"English","Male",NA,24,"Yes",27,25,18,25,"6","3","3, 6, 9, 1, 6, 9, 3, 6, 8",TRUE,0.666666666666667,0.166666666666667,0.166666666666667
"488",488,30,"striped",231,0.5,14,131,3,0.393939393939394,"solid","texture",12.11975,1,"task",111,131,"solid","task","polka-dotted",1,111,"3","polka-dotted",2,0.606060606060606,"male",131,"striped",0,1,231,"striped",0,"cloud","322b",0,"polka-dotted","['cloud', 'circle', 'blue']",0.65,"322b-2","solid",1,501,3,1,2,"English","Male",NA,24,"Yes",8,7,1,7,"1","3","2, 6, 7, 1, 6, 7, 1, 4, 7",TRUE,0.232558139534884,0.13953488372093,0.627906976744186
"492",492,30,"striped",332,0.5,22,312,3,0.466666666666667,"solid","texture",12.11975,0,"task",331,312,"solid","task","solid",0.25,331,"2","striped",2,0.2,"male",312,"polka-dotted",0.333333333333333,2,332,"polka-dotted",1,"square","322b",0.5,"polka-dotted","['square', 'blue', 'red']",0.7,"322b-2","striped",0.3,7430,3,1,2,"English","Male",NA,24,"Yes",18,12,9,12,"3","3","3, 6, 8, 3, 4, 8, 3, 6, 7",TRUE,0.141592920353982,0.849557522123894,0.00884955752212389
"496",496,30,"circle",213,0.5,30,113,3,0.344827586206897,"cloud","shape",12.11975,1,"task",113,213,"cloud","task","square",0.65,113,"3","square",1,0.655172413793103,"male",223,"circle",0,3,223,"circle",0,"green","322b",0,"square","['solid', 'striped', 'green']",0.5,"322b-2","cloud",0.95,17290,3,1,2,"English","Male",NA,24,"Yes",20,23,19,19,"9","3","2, 4, 9, 2, 5, 9, 1, 4, 9",TRUE,0.1953125,0.0234375,0.78125
"564",564,35,"red",313,0,6,313,4,0.193548387096774,"red","color",4.15328333333333,1,"task",331,212,"blue","task","green",0.5,331,"3","green",3,0.483870967741935,"female",212,"blue",0.32258064516129,0,313,"blue",0.5,"square","22b1",0.5,"green","['circle', 'square', 'solid', 'polka-dotted']",0.3,"22b1-3","red",0.75,11932,3,2,2,"English","Female",NA,26,"Yes",21,11,9,21,"3","2","3, 4, 9, 2, 4, 8, 3, 6, 7",TRUE,0.220183486238532,0.412844036697248,0.36697247706422
"568",568,35,"red",233,1,14,321,5,0.361111111111111,"red","color",4.15328333333333,0,"task",321,123,"blue","task","blue",0.5,321,"2","blue",3,0.277777777777778,"female",123,"green",0.361111111111111,1,233,"green",0.5,"striped","22b1",0.65,"green","['cloud', 'circle', 'square', 'striped', 'polka-dotted']",0.65,"22b1-2","red",0.5,25152,3,2,2,"English","Female",NA,26,"Yes",26,22,6,6,"5","3","2, 6, 9, 1, 5, 9, 3, 5, 7",TRUE,0.606060606060606,0.303030303030303,0.0909090909090909
"572",572,35,"striped",223,0,22,223,4,0.27027027027027,"polka-dotted","texture",4.15328333333333,0.5,"task",311,231,"solid","task","striped",0.5,311,"3","striped",2,0.324324324324324,"female",231,"solid",0.405405405405405,2,223,"solid",1,"circle","22b1",0.75,"polka-dotted","['circle', 'square', 'blue', 'green']",0.5,"22b1-3","polka-dotted",0.6,15631,3,2,2,"English","Female",NA,26,"Yes",23,8,3,23,"2","3","2, 5, 9, 2, 6, 7, 3, 4, 7",TRUE,0.135135135135135,0.648648648648649,0.216216216216216
"576",576,35,"circle",231,1,30,131,2,0.5,"circle","shape",4.15328333333333,0,"task",131,231,"cloud","task","cloud",0.65,331,"2","cloud",1,0.25,"female",131,"circle",0.25,3,331,"square",0.5,"blue","331",0.5,"square","['polka-dotted', 'blue']",1,"331-3","square",0.5,830,3,2,2,"English","Female",NA,26,"Yes",8,7,9,7,"7","2","2, 6, 7, 1, 6, 7, 3, 6, 7",TRUE,0.571428571428572,0.0714285714285714,0.357142857142857
"596",596,37,"red",221,0.5,6,323,4,0.103448275862069,"blue","color",8.89031666666667,1,"task",221,122,"blue","task","green",0.85,323,"2","green",3,0.551724137931034,"male",122,"blue",0.344827586206897,0,323,"red",0,"striped","311",0.5,"green","['cloud', 'circle', 'square', 'striped']",0.15,"311-3","red",0.8,18411,3,-1,2,"English","Male",NA,35,"Yes",5,13,24,24,"5","3","2, 5, 7, 1, 5, 8, 3, 5, 9",TRUE,0.267857142857143,0.0892857142857143,0.642857142857143
"600",600,37,"circle",133,0.5,14,133,5,0.444444444444444,"cloud","shape",8.89031666666667,0,"task",221,332,"cloud","task","circle",0.9,332,"3","circle",1,0,"male",221,"square",0.555555555555556,1,133,"square",1,"polka-dotted","211",1,"square","['striped', 'polka-dotted', 'blue', 'red', 'green']",0.8,"211-3","cloud",0,21640,3,-1,2,"English","Male",NA,35,"Yes",25,5,18,25,"6","3","1, 6, 9, 2, 5, 7, 3, 6, 8",TRUE,0.129032258064516,0.774193548387097,0.0967741935483871
"604",604,37,"red",232,0,22,132,4,0.470588235294118,"green","color",8.89031666666667,0.5,"task",121,132,"blue","task","blue",0.65,121,"2","red",3,0.0588235294117647,"male",132,"green",0.470588235294118,2,232,"blue",1,"cloud","22a2b",0.8,"green","['cloud', 'circle', 'striped', 'polka-dotted']",0.8,"22a2b-2a","red",0.1,6682,3,-1,2,"English","Male",NA,35,"Yes",17,16,4,16,"1","3","2, 6, 8, 1, 6, 8, 1, 5, 7",TRUE,0.157894736842105,0.631578947368421,0.210526315789474
"608",608,37,"striped",212,0,30,232,3,0.111111111111111,"striped","texture",8.89031666666667,1,"task",212,322,"solid","task","striped",0.7,322,"3","polka-dotted",2,0.444444444444444,"male",232,"solid",0.444444444444444,3,232,"solid",0.5,"red","321",0.8,"polka-dotted","['circle', 'square', 'red']",0.2,"321-3","polka-dotted",0.8,6611,3,-1,2,"English","Male",NA,35,"Yes",11,17,15,17,"8","2","2, 4, 8, 2, 6, 8, 3, 5, 8",TRUE,0.340393343419062,0.0544629349470499,0.605143721633888
"676",676,42,"circle",312,1,6,312,4,0,"circle","shape",5.81318333333333,0,"task",111,312,"cloud","task","square",1,111,"0","cloud",1,1,"female",332,"cloud",0,0,332,"square",0.5,"red","22a2b",0,"square","['solid', 'polka-dotted', 'blue', 'red']",0,"22a2b-2a","circle",1,7350,3,2,2,"English","Female",NA,43,"Yes",12,18,1,12,"8","2","3, 4, 8, 3, 6, 8, 1, 4, 7",FALSE,0.398230088495575,0.442477876106195,0.15929203539823
"680",680,42,"striped",311,0.5,14,133,4,0.310344827586207,"solid","texture",5.81318333333333,1,"task",311,113,"solid","task","polka-dotted",1,113,"3","polka-dotted",2,0.689655172413793,"female",133,"striped",0,1,133,"striped",0,"green","22a2b",0,"polka-dotted","['cloud', 'square', 'blue', 'green']",0.45,"22a2b-2b","solid",1,21791,3,2,2,"English","Female",NA,43,"Yes",3,25,19,25,"9","2","3, 4, 7, 1, 6, 9, 1, 4, 9",TRUE,0.137931034482759,0.172413793103448,0.689655172413793
"684",684,42,"red",331,1,22,331,4,0.666666666666667,"green","color",5.81318333333333,0.5,"task",121,331,"blue","task","blue",1,322,"2","blue",3,0,"female",121,"green",0.333333333333333,2,322,"red",0,"square","22b2b",0.5,"green","['cloud', 'square', 'striped', 'polka-dotted']",1,"22b2b-2","red",0,3952,3,2,2,"English","Female",NA,43,"Yes",9,4,15,9,"3","3","3, 6, 7, 1, 5, 7, 3, 5, 8",TRUE,0.473684210526316,0.131578947368421,0.394736842105263
"688",688,42,"red",122,0,30,122,4,0.333333333333333,"green","color",5.81318333333333,0.5,"task",221,122,"blue","task","red",1,221,"2","red",3,0,"female",323,"green",0.666666666666667,3,323,"blue",1,"striped","311",1,"green","['cloud', 'circle', 'square', 'striped']",0.5,"311-3","blue",0,18411,3,2,2,"English","Female",NA,43,"Yes",13,24,5,13,"5","3","1, 5, 8, 3, 5, 9, 2, 5, 7",TRUE,0.0714285714285714,0.571428571428571,0.357142857142857
"692",692,43,"striped",323,1,6,213,4,0.952380952380952,"striped","texture",11.6193666666667,0,"task",213,323,"solid","task","solid",1,213,"3","solid",2,0,"female",133,"polka-dotted",0.0476190476190476,0,133,"polka-dotted",0.5,"green","311",0.05,"polka-dotted","['cloud', 'circle', 'square', 'green']",1,"311-3","striped",0,22961,3,2,2,"English","Male","thank you",43,"Yes",24,25,20,20,"9","3","3, 5, 9, 1, 6, 9, 2, 4, 9",TRUE,0.775862068965517,0.172413793103448,0.0517241379310345
"696",696,43,"striped",332,0.5,14,332,4,0.538461538461539,"solid","texture",11.6193666666667,1,"task",132,332,"solid","task","solid",0.7,323,"2","polka-dotted",2,0.384615384615385,"female",132,"striped",0.0769230769230769,1,323,"striped",0,"square","22a2b",0.1,"polka-dotted","['cloud', 'square', 'red', 'green']",0.7,"22a2b-2a","polka-dotted",0.5,19221,3,2,2,"English","Male","thank you",43,"Yes",18,16,24,18,"3","2","3, 6, 8, 1, 6, 8, 3, 5, 9",TRUE,0.53835800807537,0.134589502018842,0.327052489905787
"700",700,43,"circle",322,1,22,113,4,0.542857142857143,"square","shape",11.6193666666667,0.5,"task",322,113,"cloud","task","cloud",0.85,313,"3","cloud",1,0.371428571428571,"female",113,"circle",0.0857142857142857,2,313,"circle",0,"green","22a2b",0.15,"square","['solid', 'striped', 'red', 'green']",0.95,"22a2b-2b","square",0.65,13070,3,2,2,"English","Male","thank you",43,"Yes",15,19,21,19,"9","3","3, 5, 8, 1, 4, 9, 3, 4, 9",TRUE,0.62992125984252,0.118110236220472,0.251968503937008
"704",704,43,"red",122,0.5,30,221,4,0.424242424242424,"blue","color",11.6193666666667,1,"task",221,122,"blue","task","green",0.65,213,"3","green",3,0.545454545454546,"female",221,"red",0.0303030303030303,3,213,"red",0,"striped","22b1",0.05,"green","['cloud', 'circle', 'solid', 'striped']",0.7,"22b1-3","blue",0.9,10392,3,2,2,"English","Male","thank you",43,"Yes",13,5,20,5,"5","3","1, 5, 8, 2, 5, 7, 2, 4, 9",TRUE,0.285714285714286,0.178571428571429,0.535714285714286
"708",708,44,"striped",322,0.5,6,322,3,0.193548387096774,"solid","texture",9.82158333333333,0,"task",311,322,"solid","task","striped",0.95,311,"3","striped",2,0.161290322580645,"male",332,"polka-dotted",0.645161290322581,0,332,"polka-dotted",1,"red","321",1,"polka-dotted","['square', 'blue', 'red']",0.3,"321-3","solid",0.25,7730,3,3,2,"English","Male",NA,27,"Yes",15,18,3,15,"8","3","3, 5, 8, 3, 6, 8, 3, 4, 7",TRUE,0.304740406320542,0.650112866817156,0.0451467268623025
"712",712,44,"red",221,0.5,14,232,5,0.302325581395349,"blue","color",9.82158333333333,0,"task",221,232,"blue","task","red",1,232,"3","red",3,0.232558139534884,"male",113,"green",0.465116279069767,1,113,"green",1,"circle","211",1,"green","['cloud', 'circle', 'solid', 'striped', 'polka-dotted']",0.65,"211-3","blue",0.5,9402,3,3,2,"English","Male",NA,27,"Yes",5,19,17,17,"2","2","2, 5, 7, 1, 4, 9, 2, 6, 8",TRUE,0.0434782608695652,0.521739130434783,0.434782608695652
"716",716,44,"striped",232,0.5,22,213,5,0.235294117647059,"solid","texture",9.82158333333333,1,"task",331,232,"solid","task","polka-dotted",0.8,331,"2","polka-dotted",2,0.529411764705882,"male",213,"solid",0.235294117647059,2,213,"striped",0,"green","22b1",0.4,"polka-dotted","['circle', 'square', 'blue', 'red', 'green']",0.4,"22b1-2","striped",0.9,10971,3,3,2,"English","Male",NA,27,"Yes",17,20,9,20,"9","3","2, 6, 8, 2, 4, 9, 3, 6, 7",FALSE,0.328467153284672,0.0875912408759124,0.583941605839416
"720",720,44,"circle",133,0,30,332,4,0.138888888888889,"circle","shape",9.82158333333333,1,"task",112,332,"cloud","task","square",0.9,332,"3","square",1,0.472222222222222,"male",112,"cloud",0.388888888888889,3,133,"cloud",0.5,"polka-dotted","22b2b",0.7,"square","['solid', 'polka-dotted', 'red', 'green']",0.25,"22b2b-2","circle",0.85,21690,3,3,2,"English","Male",NA,27,"Yes",25,10,18,18,"6","3","1, 6, 9, 1, 4, 8, 3, 6, 8",TRUE,0.0810810810810811,0.243243243243243,0.675675675675676
"788",788,49,"red",121,1,6,121,4,1,"green","color",9.25801666666667,0.5,"task",121,232,"blue","task","blue",1,232,"3","blue",3,0,"female",123,"red",0,0,123,"red",0,"cloud","22a1",0,"green","['cloud', 'circle', 'striped', 'polka-dotted']",1,"22a1-3","green",0,14532,3,3,2,"English","Male","No comments.",28,"Yes",4,22,17,4,"1","3","1, 5, 7, 1, 5, 9, 2, 6, 8",TRUE,0.579710144927536,0.130434782608696,0.289855072463768
"792",792,49,"red",232,0.5,14,231,3,0,"blue","color",9.25801666666667,1,"task",231,232,"blue","task","green",1,223,"2","green",3,1,"female",231,"blue",0,1,223,"red",0,"polka-dotted","321",0,"green","['circle', 'striped', 'polka-dotted']",0,"321-3","red",1,16671,3,3,2,"English","Male","No comments.",28,"Yes",17,8,23,8,"6","3","2, 6, 8, 2, 6, 7, 2, 5, 9",TRUE,0.155844155844156,0.0649350649350649,0.779220779220779
"796",796,49,"circle",233,0.5,22,113,4,0.333333333333333,"cloud","shape",9.25801666666667,1,"task",231,113,"cloud","task","square",1,113,"3","square",1,0.666666666666667,"female",231,"circle",0,2,233,"circle",0,"green","22a2b",0,"square","['solid', 'polka-dotted', 'blue', 'green']",0.5,"22a2b-2a","cloud",1,24600,3,3,2,"English","Male","No comments.",28,"Yes",26,8,19,19,"9","3","2, 6, 9, 2, 6, 7, 1, 4, 9",TRUE,0.343347639484979,0.0772532188841202,0.579399141630901
"800",800,49,"circle",122,0.5,30,122,4,0.333333333333333,"cloud","shape",9.25801666666667,0,"task",321,122,"cloud","task","circle",1,321,"3","circle",1,0,"female",323,"square",0.666666666666667,3,323,"square",1,"striped","321",1,"square","['striped', 'blue', 'red', 'green']",0.5,"321-2","cloud",0,18420,3,3,2,"English","Male","No comments.",28,"Yes",13,24,6,13,"5","3","1, 5, 8, 3, 5, 9, 3, 5, 7",TRUE,0.0563380281690141,0.901408450704225,0.0422535211267606
"804",804,50,"striped",322,0.5,6,232,4,0.416666666666667,"solid","texture",20.5515666666667,1,"task",112,322,"solid","task","polka-dotted",0.7,232,"3","polka-dotted",2,0.583333333333333,"female",112,"striped",0,0,232,"striped",0,"red","311",0,"polka-dotted","['cloud', 'circle', 'square', 'red']",0.5,"311-3","solid",0.7,6601,3,3,2,"English","Male","Fun study.  Really enjoyed it.",35,"Yes",15,10,17,17,"8","3","3, 5, 8, 1, 4, 8, 2, 6, 8",TRUE,0.171974522292994,0.0636942675159236,0.764331210191083
"808",808,50,"striped",123,0,14,233,4,0,"striped","texture",20.5515666666667,1,"task",313,123,"solid","task","polka-dotted",0.9,233,"3","polka-dotted",2,0.8,"female",313,"solid",0.2,1,233,"solid",0.5,"green","311",0.25,"polka-dotted","['cloud', 'circle', 'square', 'green']",0,"311-3","striped",1,25301,3,3,2,"English","Male","Fun study.  Really enjoyed it.",35,"Yes",22,21,26,26,"9","3","1, 5, 9, 3, 4, 9, 2, 6, 9",TRUE,0.144,0.216,0.64
"812",812,50,"red",133,0,22,223,4,0,"red","color",20.5515666666667,1,"task",232,223,"blue","task","green",0.8,223,"3","green",3,0.6,"female",232,"blue",0.4,2,133,"blue",0.5,"circle","22b2b",0.6,"green","['cloud', 'circle', 'striped', 'polka-dotted']",0,"22b2b-2","red",0.9,22712,3,3,2,"English","Male","Fun study.  Really enjoyed it.",35,"Yes",25,17,23,23,"2","3","1, 6, 9, 2, 6, 8, 2, 5, 9",TRUE,0.0597014925373134,0.0805970149253731,0.859701492537313
"816",816,50,"red",233,0.5,30,131,4,0.387096774193548,"blue","color",20.5515666666667,0,"task",131,233,"blue","task","red",1,131,"3","red",3,0.032258064516129,"female",333,"green",0.580645161290323,3,333,"green",1,"polka-dotted","321",0.9,"green","['cloud', 'circle', 'square', 'polka-dotted']",0.6,"321-2","blue",0.05,29061,3,3,2,"English","Male","Fun study.  Really enjoyed it.",35,"Yes",26,27,7,7,"6","3","2, 6, 9, 3, 6, 9, 1, 6, 7",TRUE,0.0563380281690141,0.901408450704225,0.0422535211267606
"836",836,52,"red",311,0.5,6,112,4,0.285714285714286,"blue","color",11.5447166666667,0,"task",311,131,"blue","task","red",0.5,131,"3","red",3,0.0476190476190476,"female",112,"green",0.666666666666667,0,112,"green",1,"cloud","22b2b",0.7,"green","['cloud', 'square', 'solid', 'polka-dotted']",0.3,"22b2b-2","blue",0.05,1012,3,4,2,"English","Male",NA,44,"Yes",3,10,7,10,"1","3","3, 4, 7, 1, 4, 8, 1, 6, 7",TRUE,0.180602006688963,0.668896321070234,0.150501672240803
"840",840,52,"red",221,1,14,221,4,1,"green","color",11.5447166666667,0.5,"task",221,131,"blue","task","blue",1,131,"3","blue",3,0,"female",223,"red",0,1,223,"red",0,"circle","22a2b",0,"green","['cloud', 'circle', 'striped', 'polka-dotted']",1,"22a2b-2b","green",0,15592,3,4,2,"English","Male",NA,44,"Yes",5,23,7,5,"2","2","2, 5, 7, 2, 5, 9, 1, 6, 7",TRUE,0.333333333333333,0.111111111111111,0.555555555555555
"844",844,52,"striped",111,0.5,22,221,4,0.25,"solid","texture",11.5447166666667,0,"task",111,311,"solid","task","striped",0.4,221,"3","striped",2,0.125,"female",311,"polka-dotted",0.625,2,221,"polka-dotted",1,"blue","321",0.75,"polka-dotted","['cloud', 'circle', 'square', 'blue']",0.3,"321-2","solid",0.15,51,3,4,2,"English","Male",NA,44,"Yes",1,3,5,5,"7","2","1, 4, 7, 3, 4, 7, 2, 5, 7",TRUE,0.161676646706587,0.538922155688623,0.29940119760479
"848",848,52,"circle",232,1,30,132,3,0.652173913043478,"circle","shape",11.5447166666667,0,"task",322,132,"cloud","task","cloud",0.6,322,"3","cloud",1,0.130434782608696,"female",132,"square",0.217391304347826,3,232,"square",0.5,"red","321",0.25,"square","['striped', 'polka-dotted', 'red']",0.75,"321-3","circle",0.15,6790,3,4,2,"English","Male",NA,44,"Yes",17,16,15,16,"8","3","2, 6, 8, 1, 6, 8, 3, 5, 8",TRUE,0.780487804878049,0.131707317073171,0.0878048780487805
"852",852,53,"striped",213,0.5,6,213,4,0.130434782608696,"solid","texture",11.26785,1,"task",321,213,"solid","task","polka-dotted",1,223,"3","polka-dotted",2,0.869565217391304,"female",321,"striped",0,0,223,"striped",0,"circle","22a2b",0,"polka-dotted","['circle', 'square', 'blue', 'green']",0.15,"22a2b-2b","solid",1,17161,3,2,2,"English",NA,"That was really interesting to complete.",34,"Yes",20,6,23,20,"2","2","2, 4, 9, 3, 5, 7, 2, 5, 9",TRUE,0.115384615384615,0.115384615384615,0.769230769230769
